finding_id,category,metric,value,unit,status,interpretation
F01,archive,open_zip_size,4563728495,bytes,OK,"Official format-example archive acquired"
F02,archive,open_zip_sha256,925502542774e08d3f28ed6cca174e607903e2abf948b0b76df5b3d067a8df1c,hex,OK,"Current raw candidate identity"
F03,archive,outer_files,5,count,OK,"baseline zip + sample CSV + 3 dummy WAVs"
F04,archive,inner_files,24,count,OK,"Reference submission code/model files"
F05,integrity,crc_failures,0,count,OK,"Every outer and inner member read fully"
F06,safety,unsafe_paths,0,count,OK,"No absolute or parent-traversal archive paths"
F07,safety,signature_mismatches,0,count,OK,"All governed extensions matched content signatures"
F08,training,labeled_training_audio,0,count,BLOCKED,"No model-training examples supplied"
F09,training,labeled_training_rows,0,count,BLOCKED,"sample_submission contains predictions, not targets"
F10,audio,dummy_files,3,count,INFO,"Format-check dummies only"
F11,audio,unique_audio_sha256,1,count,INFO,"All three dummy IDs contain identical bytes"
F12,audio,duration,3.405,seconds,INFO,"Below private evaluation minimum because these are dummies"
F13,audio,sample_rate,16000,Hz,OK,"Matches official standard"
F14,audio,channels,1,count,INFO,"Only mono represented; stereo untested"
F15,audio,silent_fraction,0.245319383,fraction,INFO,"Full-sample threshold abs(x)<1e-4"
F16,audio,clipped_fraction,0.000000000,fraction,OK,"Full-sample threshold abs(x)>=0.999"
F17,metadata,registered_training_sources,0,count,BLOCKED,"DATA_SOURCES.csv has header only"
