claim_id,claim,source_basis,checked_at,evidence_level,data_test,test_result,impact,limitations
FMA01,"이 ZIP은 FMA 음악 분석 데이터셋의 일부다","local fma_metadata/README.txt",2026-08-30,local_primary_metadata,"README·ZIP 멤버·내장 checksums 대조","12 members; CRC OK; SHA1 10/10 match","FMA provenance candidate established","Current web page not checked"
FMA02,"각 MP3의 라이선스는 아티스트가 정한다","local fma_metadata/README.txt and raw_tracks.csv license fields",2026-08-30,local_primary_metadata,"track별 license_title/license_url 전수 분포","106574 curated; 88 URL unknown; 113 curated titles including missing","track 단위 라이선스 필터 강제","Historical metadata only; not legal advice"
FMA03,"strict allowlist is CC0/BY/BY-SA/BY-NC/BY-NC-SA","project policy applied to raw_tracks.csv URLs",2026-08-30,project_policy,"URL path pattern 전수 분류","all 62601 allowed; small 5130 allowed","allowlist 밖 자동 사용 금지","Custom/public-domain marks may be usable after manual review"
FMA04,"ND licenses are excluded from derivative training use by strict project filter","raw_tracks.csv Creative Commons URL paths",2026-08-30,project_policy_plus_metadata,"by-nd/by-nc-nd URL 전수 탐지","all 42831; small 2789 excluded","ND tracks 자동 학습 후보에서 제거","Training-law interpretation requires legal review"
FMA05,"FMA curated tracks total 106574 and small label total 8000","local tracks.csv",2026-08-30,direct_file_measurement,"track_id rows and set.subset counts","106574 curated; small 8000; medium 17000; large 81574","bundle 규모·조인 기준 고정","Subset labels are minimum bundles and nested cumulatively"
FMA06,"small split is 6400/800/800","local tracks.csv",2026-08-30,direct_file_measurement,"set.subset=small × set.split crosstab","training 6400; validation 800; test 800","official split baseline documented","Not album-disjoint"
FMA07,"official split is artist-disjoint","local tracks.csv artist.id and set.split",2026-08-30,direct_file_measurement,"artist ID split 교집합 전수 검사","all/medium/small cross-split artists 0","artist leakage reduced","Artist identity may still contain aliases or metadata errors"
FMA08,"official split is not album-disjoint","local tracks.csv album.id and set.split",2026-08-30,direct_file_measurement,"album ID split 교집합 전수 검사","all 671 groups/13997 tracks; small 90/549","album+artist 연결 성분 재분할 강제","Album IDs may encode compilations/multi-artist releases"
FMA09,"not_found tracks mark source ID gaps","local not_found.pickle and raw_tracks.csv",2026-08-30,direct_file_measurement,"restricted unpickle; ID set union/intersection","45594 unique; overlap raw 0; union contiguous 0..155320","missing/deleted source records not treated as negatives","Exact historical reason per ID not encoded"
FMA10,"not_found audio/clips are excluded from curated tracks","local not_found.pickle, raw_tracks.csv, tracks.csv",2026-08-30,direct_file_measurement,"ID intersection 전수 검사","audio 180 and clips 286 all in raw; 0 in curated","curated set avoids known missing audio/clip flags","Actual bytes absent, so failure modes not reproduced"
FMA11,"track_file paths are duplicated outside small","local raw_tracks.csv joined to tracks.csv",2026-08-30,direct_file_measurement,"non-null path value counts","curated 609 groups/1481 tracks; small 0","path group before split and byte-hash after download","Same path does not prove same or valid bytes without audio"
FMA12,"source URLs are current",local metadata URL fields only,2026-08-30,not_verified,"No network requests by instruction","NOT_VERIFIED_CURRENTNESS","current web/license validation remains blocking","Reachability, redirect, page change, download availability unknown"
