experiment_id,priority,status,stage,fixed_conditions,change,hypothesis,primary_metrics,success_criterion,stop_criterion,estimated_resources,license_gate,depends_on
E00,0,COMPLETE_AUDIT_PASS,contract,"Manifest SHA 2f900e53; fixed recommended_content_split; five masked heads; seeds 20260830/31/32","Implement only scorer, label masks, group bootstrap, singleton-equivalence and shortcut reports","A correct evaluation contract prevents leakage and false gains before encoder work","Head AUC/EER/Brier; group crossings; singleton delta; runtime","Zero split crossing; mask unit tests pass; singleton max absolute probability delta <=1e-6","Any manifest mutation, group crossing, test statistic use or label-mask mismatch","0.5 GPU-hour; 2 CPU-hours; <1 day","No pretrained weights","DATA_READINESS READY"
E01,1,READY_FOR_FULL_TRAINING_R4_AUDIT_PASS,baseline,"E00 contract; same 8 s segments and sampling","Reproduce existing log-mel CNN baseline as reference only","A simple reference establishes score, shortcut and wall-clock floors","RobustSelectionScore; head EER; source/codec/rate slices; sec/file","Three-seed reproducible baseline; std <=0.005; full report produced","Cannot reproduce within score tolerance 0.005 or shortcut probe is missing","3 GPU-hours; 1 day","Repository code/data licenses only","E00"
E02,2,PLANNED,artifact,"E00; frozen data/splits/sampling; 16 kHz primary view","Replace log-mel branch with LFCC/log-linear + delta/delta2 + phase/instantaneous-frequency LCNN","Low-level artifacts improve unseen-generator detection beyond log-mel without source leakage","RobustSelectionScore; generator macro/worst EER; shortcut probe AUC","Score +0.010 over E01 or held-out generator macro EER -0.010; no shortcut probe AUC increase >0.02","No improvement after 2 seeds; source/codec/rate probe AUC >0.70 or EER regression >0.01","6 GPU-hours; 1 day","No third-party weights","E00,E01"
E03,3,PLANNED,speech,"E00; WavLM fully frozen; same segments/masks; artifact disabled","WavLM Base Plus layer-weighted mean/std pooling + 256 adapter","Speech SSL representation improves paired LJS/WaveFake and held-out generators","Voice/file AUC/EER; held-out generator macro/worst; sec/file","Voice weighted proxy +0.010 over E01 and no generator macro EER regression","Runtime branch <12 segments/s; three-seed std >0.005; shortcut regression","12 GPU-hours; 2 days","READY_CORE WavLM exact revision/hash and CC BY-SA notices","E00,E01"
E04,4,PLANNED,music,"E00; MERT fully frozen; same masks; artifact disabled; canonical 16 kHz then 24 kHz","MERT-v1-95M layer-weighted mean/std pooling + 256 adapter","Music SSL representation improves FMA/AIME provider stress over generic log-mel","Music/file AUC/EER/Brier; provider macro/worst; source probe; sec/file","Music weighted proxy +0.010 over E01 and no provider macro EER regression","Runtime branch <10 segments/s; source probe AUC >0.70; trust_remote_code or network required","12 GPU-hours; 2 days","READY_CORE MERT exact revision/hash; BY-NC attribution; vendored custom-code hashes","E00,E01"
E05,5,PLANNED,core_fusion,"E00-E04 fixed winners; both encoders frozen; 16 kHz artifact; same masks/sampling","Task-specific soft-gated fusion of WavLM + MERT + artifact with five heads and masked consistency","Specialists plus low-level artifacts outperform any branch and reduce domain shortcut","RobustSelectionScore; all head metrics; held-out macro/worst; gate entropy; runtime","Score +0.005 over best single branch; no held-out macro EER regression >0.01; std <=0.005","Gate collapse >0.95 to one branch on >90% rows; runtime projection >50 min; peak GPU >18 GiB","24 GPU-hours; 3 days","Both READY_CORE; separate checkpoint modules and notices","E02,E03,E04"
E06,6,PLANNED,artifact_ablation,"E05 fixed; same augmentation and budget","Add CQT residual view to artifact branch","CQT time-frequency geometry adds music manipulation evidence","Music weighted proxy; provider macro/worst; runtime","Score +0.003 and runtime increase <=10% with no shortcut regression","Gain <0.003 after 2 seeds or runtime >50 min","8 GPU-hours; 1 day","No new pretrained weights","E05"
E06H,7,PLANNED,artifact_ablation,"E05 fixed; every source uses identical resampler; official 16 kHz stress set fixed","Compare fixed 32 kHz LFCC/phase view against 16 kHz low-pass control","A higher-rate view may retain codec/vocoder artifacts without learning source bandwidth","Held-out macro/worst EER; sample-rate/source/codec probe; 16 kHz stress; runtime","Score +0.003; every probe AUC increase <=0.02; 16 kHz stress EER not worse by >0.005","Probe AUC >0.70 or increase >0.02; 16 kHz stress regression; runtime >50 min","8 GPU-hours; 1 day","No new pretrained weights","E05"
E07,8,PLANNED,rights_fallback,"E00/E02 fixed; MERT and WavLM excluded; XLS-R frozen","Apache-2.0 XLS-R 300M + artifact branch","A rights-clear fallback remains competitive if BY-SA/BY-NC packaging cannot be accepted","RobustSelectionScore; runtime; package size","Core score gap <=0.010; runtime <=50 min; package <=10 GiB","Runtime >50 min; peak >18 GiB; score gap >0.02","16 GPU-hours; 2 days","READY_FALLBACK Apache-2.0 exact revision/hash","E02,E05"
E08,9,BLOCKED_RIGHTS,unified_ablation,"E00/E02 fixed; no core replacement until gate clears","Frozen BEATs unified encoder + artifact","One unified encoder may reduce dual-encoder runtime while covering speech/music","RobustSelectionScore; all held-out axes; sec/file","Score gap to E05 <=0.005 and total inference <=40 min","No exact official file SHA-256 or checkpoint redistribution grant; any head EER regression >0.01","12 GPU-hours after unblock; 2 days","BLOCKED pending exact acquisition/hash and weight-rights evidence","E02,E05"
E09,10,PLANNED,robustness,"E05 winner fixed; augmentation applied after split and symmetrically","Gain/EQ/noise/RIR/resample/codec/telephone robustness curriculum with no-op fraction","Symmetric channel corruption reduces codec/sample-rate shortcuts","Worst-slice EER; held-out macro; clean score; calibration","Worst-slice EER -0.010 with clean score loss <=0.003","Clean score loss >0.005; artifact benefit disappears; source-correlated policy found","18 GPU-hours; 2 days","Only locally available codec implementations with distributable licenses","E05"
E10,11,BLOCKED_DATA_AUDIT,mixed_presence,"E05/E09 frozen; new derived manifest required; original split groups inherited","On-the-fly BOTH_PRESENT and NEITHER_PRESENT examples from rights-compatible strata","Joint presence examples improve CPS and file/conditional consistency","Presence AUC/EER/Brier; CPS proxy; mixed stress; lineage audit","CPS proxy +0.010; presence EER -0.010; no ADS loss >0.003; audit READY","Any missing lineage; CC NC/SA conflict; group crossing; audit not READY; source pair shortcut","12 GPU-hours plus data audit; 2-3 days","Only CC0/CC BY/mutually compatible CC BY-SA strata; no conflicting NC-SA waveform mix","E05,E09,new DATA_READINESS READY"
E11,12,BLOCKED_RIGHTS,finetune,"E05 winner; one encoder at a time; separate derived checkpoints","LoRA or top-layer partial unfreeze","Limited adaptation may improve artifacts missed by frozen encoders","RobustSelectionScore; held-out macro/worst; runtime; variance","Score +0.005; no held-out regression >0.01; derived-rights review READY","Rights review not READY; std >0.005; train source probe increases >0.02","24 GPU-hours per encoder; 3 days","Fresh derivative-checkpoint license and redistribution review required","E05"
E12,13,PLANNED,calibration,"Selected architecture and weights frozen; validation only; no provider-specific calibration","Fit per-head temperature, static segment mean/top-k blend and direct/logic file alpha","Static calibration improves CPS and file consistency without test-batch dependence","Brier/ECE/CPS proxy; EER/AUC invariance; singleton delta","Brier or CPS improves >=0.005; ADS EER/AUC loss <=0.001; singleton delta <=1e-6","Any test-statistic dependence; provider calibrator; ADS regression >0.001","2 GPU-hours; 0.5 day","No new rights","E05 or E07,E09"
E13,14,PLANNED,package_runtime,"Final candidate frozen; 1,200 worst-case 60 s files; L4; offline wheelhouse","Run install, hash verification, peak-memory and end-to-end inference dry run","The package meets DACON operational constraints with reserve","Install sec; inference sec; files/sec; peak GPU/RAM; ZIP bytes; network calls","Install <600 s target <120; inference <=3000 s target 2680; GPU <=18 GiB target 10; RAM <=20 GiB target 12; ZIP <10 GiB target 1.5","Any network call; inference >3600 s; install >600 s; hash mismatch; singleton failure","4 GPU-hours; 1 day","Inference ZIP has notices/licenses/checkpoint hashes; actual training files and lineage are tracked as a separate second-stage audit delivery","E12"
