repository_category,selected_rows,repository_rows,aime_direct_grant,upstream_evidence_observed,explicit_output_relicense_or_detector_training_prohibition_found,decision,training_eligible_now,condition_or_warning
MusicGen Small,124,500,Generated audio CC-BY-4.0,Official model card says weights CC-BY-NC-4.0,no,GO_WITH_ATTRIBUTION,true,User permits noncommercial CC resources; exact checkpoint revision remains a provenance-quality warning
MusicGen Medium,124,500,Generated audio CC-BY-4.0,Official model card says weights CC-BY-NC-4.0,no,GO_WITH_ATTRIBUTION,true,User permits noncommercial CC resources; exact checkpoint revision remains a provenance-quality warning
MusicGen Large,124,500,Generated audio CC-BY-4.0,Official model card says weights CC-BY-NC-4.0,no,GO_WITH_ATTRIBUTION,true,User permits noncommercial CC resources; exact checkpoint revision remains a provenance-quality warning
AudioLDM 2 Large,124,500,Generated audio CC-BY-4.0,Official checkpoint page says CC-BY-NC-SA-4.0,no,GO_WITH_ATTRIBUTION,true,User permits NC and SA resources; exact checkpoint revision remains a provenance-quality warning
AudioLDM 2 Music,124,500,Generated audio CC-BY-4.0,Official checkpoint page says CC-BY-NC-SA-4.0,no,GO_WITH_ATTRIBUTION,true,User permits NC and SA resources; exact checkpoint revision remains a provenance-quality warning
Riffusion,124,500,Generated audio CC-BY-4.0,CreativeML OpenRAIL-M says licensor claims no output rights and output must comply with use restrictions,no for lawful detector training,GO_WITH_ATTRIBUTION_AND_OPENRAIL_RESTRICTIONS,true,Retain prohibited-use restrictions and attribution
Mustango,124,500,Generated audio CC-BY-4.0,Official Hugging Face checkpoint is Apache-2.0 and repository software is MIT,no,GO_WITH_ATTRIBUTION,true,Exact generation revision remains a provenance-quality warning
Stable Audio v1,124,500,Generated audio CC-BY-4.0,Current Stability terms assign output rights and restrict training competing services; no noncompeting detector prohibition found,no for noncompeting detector training,GO_WITH_ATTRIBUTION,true,Generation-date terms and tier remain provenance-quality warnings; do not train a competing generator
Stable Audio v2,124,500,Generated audio CC-BY-4.0,Current Stability terms assign output rights and restrict training competing services; no noncompeting detector prohibition found,no for noncompeting detector training,GO_WITH_ATTRIBUTION,true,Generation-date terms and tier remain provenance-quality warnings; do not train a competing generator
Suno v3,0,500,Generated audio CC-BY-4.0,Current Suno terms prohibit using Services and Output to train other AI or ML models,yes,EXCLUDED_HOLD,false,Need generation-date terms that affirmatively permit intended detector training
Suno v3.5,0,500,Generated audio CC-BY-4.0,Current Suno terms prohibit using Services and Output to train other AI or ML models,yes,EXCLUDED_HOLD,false,Need generation-date terms that affirmatively permit intended detector training
Udio,0,500,Generated audio CC-BY-4.0,Current official terms were not independently retrievable and generation tier is absent,unresolved,EXCLUDED_HOLD,false,Commercial provider remains excluded under conservative policy until contemporaneous output and training rights are evidenced
MTG-Jamendo,0,500,Per-track original license,README says licenses vary by track and descriptions are CC-BY-NC-SA-4.0,not applicable,ROW_LEVEL_REVIEW_REQUIRED,false,Build per-track allowlist and attribution before use
