scope,axis,slice,row_count,file_fake_rate,file_label_pure,shortcut_risk,FILE_FAKE_PROB_observed_count,FILE_FAKE_PROB_positive_rate,VOICE_FAKE_PROB_observed_count,VOICE_FAKE_PROB_positive_rate,MUSIC_FAKE_PROB_observed_count,MUSIC_FAKE_PROB_positive_rate,VOICE_PRESENT_PROB_observed_count,VOICE_PRESENT_PROB_positive_rate,MUSIC_PRESENT_PROB_observed_count,MUSIC_PRESENT_PROB_positive_rate
train_plus_validation_no_test,dataset,aime-open-model-subset,1009,1.0,true,HIGH,1009,1.0,0,,1009,1.0,1009,0.0,1009,1.0
train_plus_validation_no_test,dataset,fma-small,4642,0.0,true,HIGH,4642,0.0,0,,4642,0.0,0,,4642,1.0
train_plus_validation_no_test,dataset,ljspeech-1.1,11779,0.0,true,HIGH,11779,0.0,11779,0.0,0,,11779,1.0,11779,0.0
train_plus_validation_no_test,dataset,wavefake-1.2.0,106169,1.0,true,HIGH,106169,1.0,106169,1.0,0,,106169,1.0,106169,0.0
train_plus_validation_no_test,source_family,aime_music,1009,1.0,true,HIGH,1009,1.0,0,,1009,1.0,1009,0.0,1009,1.0
train_plus_validation_no_test,source_family,common_voice_prompt,14688,1.0,true,HIGH,14688,1.0,14688,1.0,0,,14688,1.0,14688,0.0
train_plus_validation_no_test,source_family,fma_music,4642,0.0,true,HIGH,4642,0.0,0,,4642,0.0,0,,4642,1.0
train_plus_validation_no_test,source_family,jsut_basic5000,9028,1.0,true,HIGH,9028,1.0,9028,1.0,0,,9028,1.0,9028,0.0
train_plus_validation_no_test,source_family,ljspeech,94232,0.875,false,MONITOR,94232,0.875,94232,0.875,0,,94232,1.0,94232,0.0
train_plus_validation_no_test,generator_or_provider,AudioLDM 2 Large,111,1.0,true,HIGH,111,1.0,0,,111,1.0,111,0.0,111,1.0
train_plus_validation_no_test,generator_or_provider,AudioLDM 2 Music,114,1.0,true,HIGH,114,1.0,0,,114,1.0,114,0.0,114,1.0
train_plus_validation_no_test,generator_or_provider,MusicGen Large,111,1.0,true,HIGH,111,1.0,0,,111,1.0,111,0.0,111,1.0
train_plus_validation_no_test,generator_or_provider,MusicGen Medium,112,1.0,true,HIGH,112,1.0,0,,112,1.0,112,0.0,112,1.0
train_plus_validation_no_test,generator_or_provider,MusicGen Small,110,1.0,true,HIGH,110,1.0,0,,110,1.0,110,0.0,110,1.0
train_plus_validation_no_test,generator_or_provider,Mustango,115,1.0,true,HIGH,115,1.0,0,,115,1.0,115,0.0,115,1.0
train_plus_validation_no_test,generator_or_provider,Riffusion,109,1.0,true,HIGH,109,1.0,0,,109,1.0,109,0.0,109,1.0
train_plus_validation_no_test,generator_or_provider,Stable Audio v1,111,1.0,true,HIGH,111,1.0,0,,111,1.0,111,0.0,111,1.0
