claim_id,claim,canonical_artifact,source_locator,method,result,limitation
ECHOES-001,Archive identity and byte size,echoes-audit-run.json,"source.archive_sha256; source.archive_bytes",Streaming SHA-256 over the complete local archive,"8746dcb367f2f547399201d442ffab9121c36415815947ed4784e29b60e25b59; 8598345242 bytes",Local revision only
ECHOES-002,ZIP structural integrity and path safety,echoes-audit-run.json,"source.zip_*",Central-directory enumeration plus Python ZipFile.testzip and normalized member path checks,"4509 members; 4489 files; 8843084266 uncompressed bytes; CRC errors 0; unsafe paths 0",Does not prove publisher provenance beyond matching supplied SHA/LFS OID
ECHOES-003,Extracted source remained unchanged,echoes-audit-run.json,source.source_state_unchanged,"Compared archive README and manifest size and mtime before and after read-only audit",True,Only watched the named source files; audio content identity is independently fixed by per-file hashes
ECHOES-004,Dataset archive contains generated audio but no bona-fide audio directory,echoes-audit-run.json,"manifest.type_row_counts; audio.type_file_counts",Recursive tree and manifest enumeration,"Only ATA TTA and dataset_manifest.csv; 4488 generated audio files; no bona-fide audio files packaged",README and paper describe reference pairing but the reference audio is external
ECHOES-005,Manifest reconciliation,echoes-audit-run.json,manifest,"Full row/path join against recursive audio inventory","4468 rows; 4464 unique paths; two paths occur three times each; 4462 unique matches; 2 ambiguous files; 24 unreferenced extras; 0 missing referenced files",Two ambiguous paths cannot be assigned to one row without external correction
ECHOES-006,Audio decodability and technical properties,echoes-audio-inventory.csv,"all rows; decode_status codec sample_rate_hz channels duration",FFmpeg 9.0.1 exhaustive decode to interleaved s16le PCM,"4488 files audited; 4466 decode OK; 22 invalid 621-byte header-only MP3 extras",PCM is decoder-specific and capped at 600 seconds; maximum observed duration was below cap
ECHOES-007,Audio silence and clipping,echoes-audit-run.json,"audio.overall_silent_fraction; audio.overall_clipped_fraction",Exhaustive decoded PCM sample counts using abs(x)<1e-4 and abs(x)>=0.999,"silence 0.03559873399 weighted; 5 files >=50%; clipping 0.00023942287 weighted; 357 files >=1%",Threshold metrics are signal diagnostics and not perceptual quality labels
ECHOES-008,Exact and decoded duplicate groups,echoes-duplicate-groups.csv,all rows,"Full-file SHA-256 and decoded PCM SHA-256 over all decodable files","3 file-hash groups affecting 26 paths including one 22-file invalid-header group; 2 decoded-PCM groups affecting 4 paths",PCM hash detects exact decoded equality but not perceptual near-duplicates
ECHOES-009,FMA reference mapping,echoes-audit-run.json,fma_reference_mapping,"Exact and normalized title-artist mapping against FMA raw_tracks.csv with curated track IDs","296 unique reference strings; 4255 generated rows exact-unique; 207 rows across 16 reference strings ambiguous; 0 unmatched; 280 unique FMA IDs",Title-based mapping needs manual resolution for ambiguous references and does not substitute for obtaining the reference audio
ECHOES-010,FMA license allowlist join,echoes-audit-run.json,fma_reference_mapping.mapped_strict_allowlist_rows,"Join to fma-license-allowlist.csv","3419 unique-manifest generated rows map to strict-allowlist references; 836 map outside; 207 are unresolved",Generated-output rights remain independent of the FMA reference license
ECHOES-011,Dataset surface license statement,"source README.md; echoes-audit-run.json",README front matter,"Direct text inspection","CC BY-SA 4.0 front matter present; ZIP has no separate LICENSE file",Surface statement does not establish provider generation tier or upstream output rights
ECHOES-012,Paper dataset claims,echoes-audit.md,https://arxiv.org/pdf/2603.23667,"Current paper PDF inspected","Paper states 4468 generated tracks 300 bona-fide references 12 providers and CC BY-SA release; Table II claims model families/versions and labels nine systems commercial",Paper does not identify exact checkpoint/API revisions or document generation account tier and output rights relicensing authority per provider
ECHOES-013,Suno rights evidence,echoes-audit.md,https://suno.com/terms,"Current official terms inspected on 2026-08-30","Paid Pro/Premier and free/Basic outputs have materially different rights; free output is personal non-commercial with attribution",Echoes generation tier is undocumented; terms may differ from the generation date
ECHOES-014,ElevenLabs rights evidence,echoes-audit.md,https://elevenlabs.io/terms-of-use,"Current official terms inspected on 2026-08-30","Free and paid use have materially different commercial-use conditions while user output rights are addressed",Echoes generation tier is undocumented; terms may differ from the generation date
ECHOES-015,MusicGen model evidence,echoes-audit.md,https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md,"Official model card inspected","Model weights are CC BY-NC 4.0 while code licensing differs",Exact model revision and Echoes output lineage are undocumented
ECHOES-016,Conservative training eligibility,echoes-curated-manifest.csv,"provider_license_tier; evidence_status; conservative_training_eligibility; training_eligible",Provider-class gate applied to every unique manifest file,"4462 curated rows; 2621 CONDITIONAL_HOLD; 1841 HOLD; training_eligible=False for every row",Eligibility can change only after rights evidence and reference lineage are supplied and re-audited
ECHOES-017,Provider and codec shortcut risk,echoes-provider-license-summary.csv,"observed_format; observed_sample_rate_hz; observed_channels",Provider-stratified exhaustive inventory,"MusicGen is 32 kHz mono WAV; AudioLDM and valid SongGen are 16 kHz mono MP3; several providers are 44.1 or 48 kHz stereo MP3",A classifier can exploit provider/source encoding instead of deepfake cues unless evaluation controls are explicit
