scope,dataset,head,row_count,observed_count,masked_count,observed_values
train_plus_validation_no_test,aime-open-model-subset,FILE_FAKE_PROB,1009,1009,0,1
train_plus_validation_no_test,aime-open-model-subset,VOICE_FAKE_PROB,1009,0,1009,
train_plus_validation_no_test,aime-open-model-subset,MUSIC_FAKE_PROB,1009,1009,0,1
train_plus_validation_no_test,aime-open-model-subset,VOICE_PRESENT_PROB,1009,1009,0,0
train_plus_validation_no_test,aime-open-model-subset,MUSIC_PRESENT_PROB,1009,1009,0,1
train_plus_validation_no_test,fma-small,FILE_FAKE_PROB,4642,4642,0,0
train_plus_validation_no_test,fma-small,VOICE_FAKE_PROB,4642,0,4642,
train_plus_validation_no_test,fma-small,MUSIC_FAKE_PROB,4642,4642,0,0
train_plus_validation_no_test,fma-small,VOICE_PRESENT_PROB,4642,0,4642,
train_plus_validation_no_test,fma-small,MUSIC_PRESENT_PROB,4642,4642,0,1
train_plus_validation_no_test,ljspeech-1.1,FILE_FAKE_PROB,11779,11779,0,0
train_plus_validation_no_test,ljspeech-1.1,VOICE_FAKE_PROB,11779,11779,0,0
train_plus_validation_no_test,ljspeech-1.1,MUSIC_FAKE_PROB,11779,0,11779,
train_plus_validation_no_test,ljspeech-1.1,VOICE_PRESENT_PROB,11779,11779,0,1
train_plus_validation_no_test,ljspeech-1.1,MUSIC_PRESENT_PROB,11779,11779,0,0
train_plus_validation_no_test,wavefake-1.2.0,FILE_FAKE_PROB,106169,106169,0,1
train_plus_validation_no_test,wavefake-1.2.0,VOICE_FAKE_PROB,106169,106169,0,1
train_plus_validation_no_test,wavefake-1.2.0,MUSIC_FAKE_PROB,106169,0,106169,
train_plus_validation_no_test,wavefake-1.2.0,VOICE_PRESENT_PROB,106169,106169,0,1
train_plus_validation_no_test,wavefake-1.2.0,MUSIC_PRESENT_PROB,106169,106169,0,0
