claim_id,claim,evidence_type,evidence_path_or_url,observed_result,decision_impact,limitation
AIME-001,Pinned source identity,local filesystem,C:\Users\MY PC\Desktop\Hackathon\deepvoice\data\raw\aime\b84d4be5eda830b6eb714998569dba73530f2601,Revision directory and README observed,Audit bound to immutable revision,Local directory name plus downloaded hashes does not itself prove remote authorship
AIME-002,Repository projection,projected remote metadata,aime-shard-inventory.csv,210 parquet shards 6500 rows 62281475287 bytes and 13 categories x 500 with failures 0,Defines full-universe denominator,Only id and model columns were projected; audio not decoded outside selected shards
AIME-003,Subset acquisition integrity,local hash audit,aime-subset-shard-integrity.csv,36 of 36 size SHA-256 row count and provider-purity checks passed,Technical source integrity PASS,Trusts official LFS OIDs recorded during acquisition
AIME-004,Subset scope,local exhaustive audit,aime-subset-audit-run.json,1116 rows from 9 providers and 4 pure shards per provider,Subset conclusions are observed not projected,Not a full 6500-row content audit
AIME-005,Audio decodability,FFprobe and FFmpeg full decode,aime-subset-audio-inventory.csv,1116 of 1116 RIFF/WAVE files decoded with no nonfinite samples,Technical content PASS,FFmpeg decoding is not a perceptual quality judgment
AIME-006,Exact duplicates,SHA-256 on embedded bytes and decoded f32le PCM,aime-subset-audit-run.json,0 byte duplicate groups and 0 decoded PCM duplicate groups,No exact duplicate component in selected subset,No perceptual fingerprint or lossy near-duplicate detector was run
AIME-007,Semantic repetition,normalized description groups,aime-subset-audit-run.json,270 duplicated description groups cover 1054 rows,Group by prompt/description before splitting,Text normalization may merge or miss semantically equivalent prompts
AIME-008,Filename leakage,local manifest fields,aime-curated-manifest.csv,All 1116 audio paths begin with normalized prompt tags,Path must be removed from model features and split logic,Removing path alone does not remove codec or ID leakage
AIME-009,Provider shortcut,decoded audio profile,aime-provider-summary.csv,Codec rate channels and duration are deterministic or near-deterministic by provider,Canonicalize waveform representation and hold out providers,Canonicalization cannot prove semantic independence
AIME-010,Dataset audio license,pinned local README and official dataset page,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,README states 6000 generated tracks are CC-BY-4.0,AIME rights provenance stronger than Echoes,Dataset statement does not replace upstream model or service terms
AIME-011,Dataset composition,official paper,https://arxiv.org/abs/2506.19085,Paper reports 6000 tracks from 12 models and open release,Supports provider and size provenance,Paper does not document commercial generation account tiers
AIME-012,MusicGen upstream license,official model card,https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md,Weights CC-BY-NC-4.0 and no explicit generated-output relicense prohibition was found,GO_WITH_ATTRIBUTION under user noncommercial policy,Exact generation-time revision remains a provenance-quality warning
AIME-013,AudioLDM2 upstream license,official checkpoint page,https://huggingface.co/cvssp/audioldm2,Checkpoint page says CC-BY-NC-SA-4.0 and no explicit generated-output relicense prohibition was found,GO_WITH_ATTRIBUTION under user NC and SA policy,Exact generation-time revision remains a provenance-quality warning
AIME-014,Riffusion upstream license,official model page and CreativeML OpenRAIL-M,https://huggingface.co/riffusion/riffusion-model-v1,License says licensor claims no rights in outputs subject to use restrictions,GO_WITH_ATTRIBUTION_AND_OPENRAIL_RESTRICTIONS,No generation-time revision was recorded
AIME-015,Mustango upstream license,official model page,https://huggingface.co/declare-lab/mustango,Checkpoint is Apache-2.0 and repository software is MIT with no output prohibition found,GO_WITH_ATTRIBUTION,Exact generation revision remains a provenance-quality warning
AIME-016,Stable Audio rights,current official terms,https://stability.ai/terms-of-service,Current terms assign output rights and restrict competing-service training but no noncompeting detector prohibition was found,GO_WITH_ATTRIBUTION for DeepVoice detector,Generation-date service terms and tier remain provenance-quality warnings
AIME-017,Suno rights,current official terms,https://suno.com/terms,Current terms distinguish paid assignment from free noncommercial use and restrict using output to train other AI systems,Suno v3 and v3.5 excluded and HOLD,Current terms may differ from generation-date terms
AIME-018,Udio rights,unresolved official evidence,https://www.udio.com/terms-of-service,Usable current terms were not independently retrieved,Udio excluded and HOLD,No generation tier or contemporaneous terms in AIME materials
AIME-019,Description metadata license,pinned local README,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,Description tags are CC-BY-NC-SA-4.0,Do not treat descriptions as unrestricted labels,Need project-specific legal interpretation if training directly on text
