claim_id,claim,source_url,published_or_updated,checked_at,source_tier,evidence_level,data_test,test_result,impact,limitations
E01,"공식 open.zip은 참고용 baseline_submit.zip, 더미 WAV 3개, sample_submission.csv만 포함하고 별도 학습 데이터는 제공하지 않는다",https://dacon.io/competitions/official/236749/data,live competition page,2026-08-30,competition_official,direct_official,"ZIP 내부 트리·CSV 타깃·오디오 파일 전수 검사","CONFIRMED: outer 5 files; labeled training audio 0; target rows 0","open.zip을 학습 데이터로 사용 금지; 실제 학습 코퍼스 별도 확보","공식 게시 SHA-256은 없음"
E02,"실제 평가 데이터는 1200개, 4~60초, 16 kHz, 모노/스테레오, MP3/WAV/FLAC, 일부 전화채널이다",https://dacon.io/competitions/official/236749/overview/description,live competition page,2026-08-30,competition_official,direct_official,"더미 오디오 길이·샘플레이트·채널·포맷 전수 검사","NOT_REPRESENTATIVE: 3 files all identical 3.405 s mono 16 kHz PCM WAV","실제 학습 데이터에 다중 포맷·채널·전화 스트레스 검증 강제","실제 평가 1200개는 비공개"
E03,"파일마다 전체/음성/음악 FAKE와 음성/음악 존재 확률 5개를 출력한다",https://dacon.io/competitions/official/236749/overview/description,live competition page,2026-08-30,competition_official,direct_official,"sample_submission 헤더·열 순서·행·확률 범위 검사","CONFIRMED: 3x6; exact header; 5 probabilities all 0.5; range errors 0","출력 계약 테스트 고정","값은 예측 예시이며 라벨 아님"
E04,"총점은 0.9 ADS + 0.1 CPS이고 Voice/Music EER는 해당 성분 존재 샘플에서만 계산한다",https://dacon.io/competitions/official/236749/overview/evaluation,live competition page,2026-08-30,competition_official,direct_official,"조건부 타깃 네 조합과 폴드별 클래스 수 검사","NOT_TESTED: labeled rows 0","그룹 제약 후 조건부 층화와 공식 이산 EER 강제","실제 학습 라벨 필요"
E05,"Public은 전체 테스트 100%이고 종료 시점 Public이 Private가 된다",https://dacon.io/competitions/official/236749/overview/evaluation,live competition page,2026-08-30,competition_official,direct_official,"내부 검증 선택과 리더보드 제출 이력 분리","NOT_APPLICABLE_PRE_SUBMISSION","리더보드를 검증셋으로 사용 금지","참가자 실험 로그로만 감사 가능"
E06,"공개 접근 가능하고 최소 비영리 사용이 허용된 외부 자원은 라이선스 준수 아래 사용할 수 있다",https://dacon.io/competitions/official/236749/overview/rules,live competition page,2026-08-30,competition_official,direct_official,"DATA_SOURCES 등록 행·라이선스·버전·로컬 파일 확인","FAILED: DATA_SOURCES.csv registered rows 0","등록되지 않은 데이터·모델을 학습에 사용 금지","개별 자원 권리·재배포 조건은 별도 검토 필요"
E07,"CC-BY-NC-SA 데이터도 공개 접근·최소 비영리 사용·라이선스 준수 조건이면 사용 가능하다",https://dacon.io/competitions/official/236749/talkboard/417212,2026-08-27,2026-08-30,competition_official_answer,direct_official,"등록 자원의 실제 라이선스 문구와 SA 의무 검사","NOT_TESTED: registered sources 0","SA 포함 자원은 파생·배포 의무를 자원별로 기록","운영진 답변이 제3자 권리 검토를 대체하지 않음"
E08,"평가 파일은 서로 독립적으로 예측하고 다른 파일의 정보·통계·예측으로 보정하면 안 된다",https://dacon.io/competitions/official/236749/overview/rules,live competition page,2026-08-30,competition_official,direct_official,"추론 코드의 테스트 배치 통계·순위 보정·파일 간 상태 검사","NOT_TESTED: modeling code out of this data audit scope","한 파일 내부 세그먼트 집계만 허용","모델 코드 수정·정적 감사를 수행하지 않음"
E09,"실제 학습에 사용한 파일 전체와 직접 생성 데이터의 생성·재현 정보를 2차 평가에 제출해야 한다",https://dacon.io/competitions/official/236749/talkboard/417198,2026-08-27,2026-08-30,competition_official_answer,direct_official,"학습 파일 SHA-256·생성기·리비전·시드·프롬프트·후처리 매니페스트 대조","FAILED: training files 0; lineage registry 0","수집 첫날부터 실제 파일과 완전한 계보 보존","대용량 최종 전달 절차는 제출 전 재확인"
E10,"동점이면 해당 점수를 먼저 기록한 팀이 상위이고 Public 최고점은 실시간 갱신된다",https://dacon.io/competitions/official/236749/talkboard/417136,2026-08-14,2026-08-30,competition_official_faq,direct_official,"제출 시각·점수·실험 ID 로그 확인","NOT_APPLICABLE_PRE_SUBMISSION","동점 시 제출 시각 영향; 리더보드 선택 편향 감시","FAQ는 제출 전 재확인 필요"
