"source_id","asset_name","asset_unit","role","canonical_url","license_name","license_url_or_terms","access_terms_url","proposed_status","evidence_to_capture_at_acquisition","checked_date","notes"
"DACON-RULES","DACON DeepVoice","competition rules","governing requirement","https://dacon.io/competitions/official/236749/overview/rules","official rules","https://dacon.io/competitions/official/236749/overview/rules","https://dacon.io/competitions/official/236749/overview/rules","GATE","PDF/screenshot/hash and update timestamp","2026-08-30","all actual training files required for second stage"
"DACON-FAQ-FILES","DACON official answer","FAQ","judge-file submission evidence","https://dacon.io/competitions/official/236749/talkboard/417198?dtype=recent&page=1","official answer","https://dacon.io/competitions/official/236749/talkboard/417198?dtype=recent&page=1","https://dacon.io/competitions/official/236749/talkboard/417198?dtype=recent&page=1","GATE","page capture and answer author/date","2026-08-30","metadata cannot replace audio; Drive allowed"
"DACON-FAQ-NC","DACON official answer","FAQ","CC BY-NC-SA eligibility evidence","https://dacon.io/competitions/official/236749/talkboard/417212","official answer","https://dacon.io/competitions/official/236749/talkboard/417212","https://dacon.io/competitions/official/236749/talkboard/417212","GATE","page capture and answer author/date","2026-08-30","public resources permitting at least noncommercial use including CC BY-NC-SA are usable if license conditions are followed"
"ODC-BY-1","Open Data Commons Attribution","license text","database-rights interpretation","https://opendatacommons.org/licenses/by/1-0/","ODC-By 1.0","https://opendatacommons.org/licenses/by/1-0/","","REFERENCE","HTML/PDF snapshot","2026-08-30","does not automatically cover individual contents"
"ODBL-1","Open Database License","license text","VCC2020 database interpretation","https://opendatacommons.org/licenses/odbl/1-0/","ODbL 1.0","https://opendatacommons.org/licenses/odbl/1-0/","","REFERENCE","HTML/PDF snapshot","2026-08-30","database share-alike and notice obligations"
"DBCL-1","Database Contents License","license text","VCC2020 individual-content interpretation","https://opendatacommons.org/licenses/dbcl/1-0/","DbCL 1.0","https://opendatacommons.org/licenses/dbcl/1-0/","","REFERENCE","HTML/PDF snapshot","2026-08-30","grants rights in individual contents subject to ODbL"
"CC-BY-4","Creative Commons Attribution","license text","license interpretation","https://creativecommons.org/licenses/by/4.0/legalcode","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/legalcode","","REFERENCE","legal-code snapshot","2026-08-30","attribution and changes"
"CC-BY-SA-4","Creative Commons Attribution-ShareAlike","license text","license interpretation","https://creativecommons.org/licenses/by-sa/4.0/legalcode","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/legalcode","","REFERENCE","legal-code snapshot","2026-08-30","adapter license and no extra restrictions"
"CC-BY-NC-4","Creative Commons Attribution-NonCommercial","license text","license interpretation","https://creativecommons.org/licenses/by-nc/4.0/legalcode","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode","","REFERENCE","legal-code snapshot","2026-08-30","NC is use-specific"
"CC-BY-NC-SA-4","Creative Commons Attribution-NonCommercial-ShareAlike","license text","license interpretation","https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode","CC BY-NC-SA 4.0","https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode","","REFERENCE","legal-code snapshot","2026-08-30","NC and SA"
"CC-COMPAT","Creative Commons compatible licenses","compatibility list","mixing-strata gate","https://creativecommons.org/compatible-licenses/","CC official guidance","https://creativecommons.org/compatible-licenses/","","REFERENCE","page snapshot","2026-08-30","BY-SA and BY-NC-SA strata are not interchangeable"
"CC-FAQ","Creative Commons FAQ","official guidance","NC/AI/third-party-rights interpretation","https://creativecommons.org/faq/","CC official guidance","https://creativecommons.org/faq/","","REFERENCE","page snapshot","2026-08-30","NC is use-specific; privacy/personality and database contents may be separate"
"VCC2020-LICENSE","Voice Conversion Challenge 2020","audio/database license","ASVspoof 2021 upstream provenance","https://github.com/nii-yamagishilab/VCC2020-database","ODbL 1.0 plus DbCL 1.0","https://github.com/nii-yamagishilab/VCC2020-database","https://github.com/nii-yamagishilab/VCC2020-database","REFERENCE","repository commit; COPYING text; archive hashes","2026-08-30","unlike plain ODC-By this repository expressly licenses contents via DbCL"
"ASV15-AUDIO","ASVspoof 2015","audio and protocol archive","fake/real speech training","https://datashare.ed.ac.uk/items/a714c9b8-4acd-43a2-ac45-68eebcd070de/full","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/legalcode","https://datashare.ed.ac.uk/items/a714c9b8-4acd-43a2-ac45-68eebcd070de","GO","license.txt; DOI; archive names; MD5/SHA256; creator citation","2026-08-30","prefer over ASV2021 until contents permission resolved"
"ASV21-DF","ASVspoof 2021 DF","DF evaluation FLAC corpus","fake/real speech training","https://zenodo.org/records/4835108","ODC-By 1.0 per official page","https://opendatacommons.org/licenses/by/1-0/","https://www.asvspoof.org/index2021.html","CONDITIONAL","Zenodo DOI/version/files/hashes; official license snapshot; written judge-transfer permission; upstream mapping","2026-08-30","ODC content-right gap"
